frame,timestamp,inst_fps,avg_fps,num_tracks,track_ids
319,16:09:07,43.43,29.95,7,1;2;3;4;5;6;10
320,16:09:07,15.64,29.86,7,1;2;3;4;5;6;10
321,16:09:07,64.17,29.91,7,1;2;3;4;5;6;10
322,16:09:07,62.50,29.96,8,1;2;3;4;5;6;7;10
323,16:09:07,12.89,29.84,8,1;2;3;4;5;6;7;10
324,16:09:07,62.22,29.89,8,1;2;3;4;5;6;7;10
325,16:09:07,65.74,29.94,8,1;2;3;4;5;6;7;10
326,16:09:07,16.08,29.86,8,1;2;3;4;5;6;7;10
327,16:09:07,100.00,29.92,8,1;2;3;4;5;6;7;10
328,16:09:07,48.62,29.96,8,1;2;3;4;5;6;7;10
329,16:09:07,15.63,29.87,8,1;2;3;4;5;6;7;10
330,16:09:07,62.50,29.92,8,1;2;3;4;5;6;7;10
331,16:09:07,62.50,29.97,8,1;2;3;4;5;6;7;10
332,16:09:07,15.98,29.89,8,1;2;3;4;5;6;7;10
333,16:09:07,65.10,29.94,8,1;2;3;4;5;6;7;10
334,16:09:07,62.76,29.99,8,1;2;3;4;5;6;7;10
335,16:09:07,15.79,29.90,8,1;2;3;4;5;6;7;10
336,16:09:07,65.43,29.95,8,1;2;3;4;5;6;7;10
337,16:09:07,66.88,30.00,8,1;2;3;4;5;6;7;10
338,16:09:07,15.66,29.92,8,1;2;3;4;5;6;7;10
339,16:09:07,64.36,29.97,8,1;2;3;4;5;6;7;10
340,16:09:07,63.06,30.02,7,1;2;3;5;6;7;10
341,16:09:07,15.81,29.94,7,1;2;3;5;6;7;10
342,16:09:07,65.81,29.98,7,1;2;3;5;6;7;10
343,16:09:07,67.93,30.03,7,1;2;3;5;6;7;10
344,16:09:07,16.25,29.96,7,1;2;3;5;6;7;10
345,16:09:07,65.25,30.01,7,1;2;3;5;6;7;10
346,16:09:07,63.00,30.05,7,1;2;3;5;6;7;10
347,16:09:07,15.83,29.97,7,1;2;3;5;6;7;10
348,16:09:07,65.71,30.02,7,1;2;3;5;6;7;10
349,16:09:07,62.43,30.07,7,1;2;3;5;6;7;10
350,16:09:08,15.75,29.99,7,1;2;3;5;6;7;10
351,16:09:08,64.50,30.03,7,1;2;3;5;6;7;10
352,16:09:08,125.01,30.10,7,1;2;3;5;6;7;10
353,16:09:08,14.07,30.00,7,1;2;3;5;6;7;10
354,16:09:08,64.26,30.05,7,1;2;3;5;6;7;10
355,16:09:08,62.50,30.09,7,1;2;3;5;6;7;10
356,16:09:08,12.73,29.98,7,1;2;3;5;6;7;10
357,16:09:08,63.25,30.02,7,1;2;3;5;6;7;10
358,16:09:08,65.56,30.07,8,1;2;3;4;5;6;7;10
359,16:09:08,13.05,29.96,8,1;2;3;4;5;6;7;10
360,16:09:08,65.86,30.00,8,1;2;3;4;5;6;7;10
361,16:09:08,66.67,30.05,7,1;2;3;4;5;6;10
362,16:09:08,12.62,29.93,7,1;2;3;4;5;6;10
363,16:09:08,62.86,29.98,7,1;2;3;4;5;6;10
364,16:09:08,67.67,30.02,7,1;2;3;4;5;6;10
365,16:09:08,13.13,29.92,7,1;2;3;4;5;6;10
366,16:09:08,66.55,29.96,7,1;2;3;4;5;6;10
367,16:09:08,66.67,30.01,7,1;2;3;5;6;8;9
368,16:09:08,12.98,29.90,7,1;2;3;5;6;8;9
369,16:09:08,66.23,29.95,7,1;2;3;5;6;8;9
370,16:09:08,65.31,29.99,7,1;2;3;5;6;8;9
